station_id,station_name,revenue,sessions,energy_kwh,avg_duration_min,avg_utilization
S006,Karol Bagh,1709546.52,5092,106154.2,46.51824430479183,0.576885310290652
S007,MG Road,1454340.8,4591,96856.45,84.68690917011544,0.5749727728163798
S005,Rajouri Garden,1260051.32,3931,81392.3,74.34225387942,0.5763368099720173
S013,Indirapuram,1168176.0,3431,70073.24,72.91842028563102,0.5754473914310696
S003,Sector 18,1146364.04,4040,83037.09,77.13737623762377,0.5789851485148515
S004,DLF Phase 3,1097744.16,3383,71736.48,96.80402010050251,0.5757315991723323
S014,Lajpat Nagar,1072431.52,3490,72363.98,87.00679083094556,0.5706876790830946
S001,Connaught Place,1032201.0,3404,70278.58,85.73081668625147,0.5742126909518214
S010,Saket,995257.84,3409,71383.4,98.09636256966853,0.5727310061601643
S012,Golf Course Road,904832.44,2822,56575.54,71.91070163004962,0.5772289156626507
S015,Sector 29,824098.12,2962,60571.26,128.73021607022284,0.5751114112086428
S008,Sector 62,821595.56,2941,60126.84,111.70496429785787,0.5749608976538593
S020,Sohna Road,817197.72,2323,47833.22,74.41980198019803,0.5782049074472665
S009,Dwarka Sector 21,810765.88,2848,58817.8,116.75414325842696,0.5722226123595506
S018,Sector 137,798203.0,2802,58624.8,111.95806566738044,0.569678800856531
S017,Udyog Vihar,693029.32,2258,46077.85,45.11372896368468,0.5744154118689105
S002,Cyber Hub,670798.44,2254,47974.51,122.95496894409938,0.5704480922803904
S016,Greater Kailash,621488.32,1703,35402.73,32.10986494421609,0.5768173810921903
S011,Vasant Kunj,425810.52,1757,35578.95,154.81804211724528,0.5780022766078543
S019,Nehru Place,183064.8,544,11333.65,29.45073529411765,0.5894485294117647
